execution_id	timestamp_utc	run_pair_id	git_sha	dirty_flag	executable	build_type	inputs_file	setup_id	restart_from	validation_question	validation_lane	input_scope	temporal_scope	use_wdm6_cpp_answer	microphysics_debug	max_step	stop_time	nprocs	target_column_ij	campaign_id	run_pair	milestone	milestone_time_s	compared_step	active_species	first_failing_step	first_failing_var	zone_i	zone_j	zone_k	restart_from_chk	restart_repro_status	diff_plotfile_path	plot_path	checkpoint_path	log_path	exit_code	execution_status	notes
20260812T175500Z_wdm6_bubble_v1_A_fortran_precrashfix	20260812T175500Z	wdm6_bubble_v1_A	4ddfb8c42756ad17c91e976d8827d91d78db97c6	clean	build_wdm6/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	bubble_1step_plotparity	NA	implementation_parity	plotfile_parity_serial	bubble_moist_initial_condition	single_step_0_to_1	0	0	1	NA	1	NA	campaign_wdm6_bubble_v1	short	A	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	campaign_wdm6_bubble_v1/short_fortran/plt00000	NA	campaign_wdm6_bubble_v1/log.short_fortran	1	fail	TRIAGE. Milestone A bridge leg under full campaign posture (microphysics_debug=0, GFORTRAN_UNBUFFERED_ALL=y, no mpirun) still aborts: 'Fatal glibc error: malloc.c:4376 (_int_malloc): assertion failed'. Only plt00000 written; step 1 never completes. Disproves the hypothesis that the long-standing 'free(): invalid pointer' abort (recorded open since G5a) was a heavy-diagnostic buffering artifact per wsm6_validation_operator.md:337. Provenance repaired first: build-info tier1 (object+dep) insufficient, tier2 (generated AMReX_buildInfo.cpp) required; embedded hash now 26.06-287-g4ddfb8c42756.
20260812T180500Z_wdm6_bubble_v1_A_fortran_valgrind	20260812T180500Z	wdm6_bubble_v1_A_vg	4ddfb8c42756ad17c91e976d8827d91d78db97c6	clean	build_wdm6/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	bubble_1step_memcheck	NA	runtime_stability	plotfile_parity_serial	bubble_moist_initial_condition	single_step_0_to_1	0	0	1	NA	1	NA	campaign_wdm6_bubble_v1	short	A	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	campaign_wdm6_bubble_v1/vg_fortran	NA	campaign_wdm6_bubble_v1/valgrind.fortran.log	0	success	TRIAGE. valgrind memcheck localizes the corruption: 28 invalid reads + 15 invalid writes, all in mp_wdm6_run_c, all past 6400-byte (800-double = 200x4 active-tile) FArrayBox blocks allocated in WDM6::Advance. Root cause: the seven 2D precip buffers (rainacc/rainncv/sr/snowacc/snowncv/graupacc/graupelncv) were allocated on the ACTIVE tile box while mp_wdm6_run_c declares them dimension(ims:ime,jms:jme) i.e. STORAGE bounds. Violates core-rules.md:37 (respect slab/box allocation patterns for 2D accumulators) and core-rules.md:16 (pass storage and active bounds separately).
20260812T181500Z_wdm6_bubble_v2_A_fortran	20260812T181500Z	wdm6_bubble_v2_A	4ddfb8c42756ad17c91e976d8827d91d78db97c6	dirty	build_wdm6/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	bubble_1step_plotparity	NA	implementation_parity	plotfile_parity_serial	bubble_moist_initial_condition	single_step_0_to_1	0	0	1	NA	1	NA	campaign_wdm6_bubble_v2	short	A	0.5	1	qv,qc,qi,qs,nc,nr	NA	NA	NA	NA	NA	NA	NA	NA	campaign_wdm6_bubble_v2/short_fortran/plt00001	campaign_wdm6_bubble_v2/short_fortran/chk00001	campaign_wdm6_bubble_v2/log.short_fortran	0	success	First bridge leg at a recent SHA ever to complete step 1 and write plt00001. Fix: allocate the seven 2D precip FABs plus xland on fab_box2d (storage slab) and initialize over fab_box2d, mirroring ERF_AdvanceWSM6.cpp:963-994. Follow-up valgrind: ERROR SUMMARY 0 errors from 0 contexts. dirty_flag=dirty because the fix is uncommitted; only Source/Microphysics/WDM6/ERF_AdvanceWDM6.cpp differs from 4ddfb8c42.
20260812T181500Z_wdm6_bubble_v2_A_cpp	20260812T181500Z	wdm6_bubble_v2_A	4ddfb8c42756ad17c91e976d8827d91d78db97c6	dirty	build_wdm6/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	bubble_1step_plotparity	NA	implementation_parity	plotfile_parity_serial	bubble_moist_initial_condition	single_step_0_to_1	1	0	1	NA	1	NA	campaign_wdm6_bubble_v2	short	A	0.5	1	qv,qc,qi,qs,nc,nr	1	temp	199	3	90	NA	NA	campaign_wdm6_bubble_v2/diffs_plt00001_temp	campaign_wdm6_bubble_v2/short_cpp/plt00001	campaign_wdm6_bubble_v2/short_cpp/chk00001	campaign_wdm6_bubble_v2/log.short_cpp	0	success	Milestone A FAIL at zero tolerance. plt00000 pair AGREE (identical initial state) so divergence is entirely inside the first WDM6 call. temp abs=6.631607696 rel=2.291e-2; rhotheta abs=3.01690336 rel=8.859e-3; pressure abs=867.1722896 rel=8.722e-3; eq_pot_temp rel=1.986e-2; qi rel=2.647e-3; qsnow rel=6.247e-4; nc rel=6.192e-4; nr rel=6.247e-4. density, qc, qrain, qgraup, velocities bitwise equal; qv rel=2.667e-11. Only 31 vars compared: ni (RhoQ8/nn) absent despite the plot_vars_1 override, so the CCN field is uncompared. Confirmed an ERF plotfile emission gap, not a tooling artifact: tools/fcompare_serial and Submodules/AMReX/Tools/Plotfile/fcompare.gnu.ex report identical values to every printed digit on this pair.
20260812T182000Z_wdm6_bubble_v2_R36_fortran	20260812T182000Z	wdm6_bubble_v2_R36	4ddfb8c42756ad17c91e976d8827d91d78db97c6	dirty	build_wdm6/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	bubble_restart_1step	campaign_wdm6_bubble_v2/short_fortran/chk00000	implementation_parity	plotfile_parity_serial	bubble_moist_initial_condition	restart_step_0_to_1	0	0	1	NA	1	NA	campaign_wdm6_bubble_v2	r36	A	0.5	1	qv,qc,qi,qs,nc,nr	1	temp	199	3	90	campaign_wdm6_bubble_v2/short_fortran/chk00000	MATCH	campaign_wdm6_bubble_v2/diffs_plt00001_temp	campaign_wdm6_bubble_v2/r36_fortran/plt00001	NA	campaign_wdm6_bubble_v2/log.r36_fortran	0	success	Rule 36 leg 1. Shared restart source is the Fortran-leg checkpoint per default policy.
20260812T182000Z_wdm6_bubble_v2_R36_cpp	20260812T182000Z	wdm6_bubble_v2_R36	4ddfb8c42756ad17c91e976d8827d91d78db97c6	dirty	build_wdm6/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	bubble_restart_1step	campaign_wdm6_bubble_v2/short_fortran/chk00000	implementation_parity	plotfile_parity_serial	bubble_moist_initial_condition	restart_step_0_to_1	1	0	1	NA	1	NA	campaign_wdm6_bubble_v2	r36	A	0.5	1	qv,qc,qi,qs,nc,nr	1	temp	199	3	90	campaign_wdm6_bubble_v2/short_fortran/chk00000	MATCH	campaign_wdm6_bubble_v2/diffs_plt00001_temp	campaign_wdm6_bubble_v2/r36_cpp/plt00001	NA	campaign_wdm6_bubble_v2/log.r36_cpp	0	success	Rule 36 leg 2. restart_repro_status=MATCH: regenerated pair reproduces the full-run divergence bit-for-bit (temp 6.631607696, rhotheta 3.01690336, pressure 867.1722896, qi 5.347781098e-07 all identical to the direct run). Not a checkpoint/ghost/restart-state artifact. Rule 37 trigger satisfied.
20260812T182300Z_wdm6_bubble_v2_R37_fortran	20260812T182300Z	wdm6_bubble_v2_R37	4ddfb8c42756ad17c91e976d8827d91d78db97c6	dirty	build_wdm6/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	bubble_1step_debug	NA	implementation_parity	tag_frontier	bubble_moist_initial_condition	single_step_0_to_1	0	1	1	NA	1	(199,3)	campaign_wdm6_bubble_v2	r37	A	0.5	1	qv,qc,qi,qs,nc,nr	NA	NA	199	3	90	NA	MATCH	NA	NA	NA	campaign_wdm6_bubble_v2/log.r37_fortran	0	success	Rule 37 tag retreat at the FAILING column (199,3) rather than the (ilo,jlo) default, since (100,0) already passes at every group. 320409 log lines / 320291 FORT markers.
20260812T182300Z_wdm6_bubble_v2_R37_cpp	20260812T182300Z	wdm6_bubble_v2_R37	4ddfb8c42756ad17c91e976d8827d91d78db97c6	dirty	build_wdm6/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	bubble_1step_debug	NA	implementation_parity	tag_frontier	bubble_moist_initial_condition	single_step_0_to_1	1	1	1	NA	1	(199,3)	campaign_wdm6_bubble_v2	r37	A	0.5	1	qv,qc,qi,qs,nc,nr	NA	NA	199	3	90	NA	MATCH	NA	NA	NA	campaign_wdm6_bubble_v2/log.r37_cpp	0	success	INCONCLUSIVE by construction. All 33 groups P0..G17 report max_abs_diff=0.000e+00 at column (199,3), yet the plotfile diverges at (199,3,90). Cause: WDM6 group tags are hardwired to kts with no do-k loop, so each tag validates ONE cell. WSM6 on wsm6-mpi-cpu loops do k=kts,kte at mpdbg_level>=1 (full column). The WDM6 surface structurally cannot observe k=90. Also G10A/G10B/G10C emit ~20000 Fortran lines (full i-k plane) against 1 C++ line, so those have no matched surface either. 176 CPP markers total.
20260812T231920Z_plotparity_wdm6_bubble_v1a_short_fortran_dbg0	20260812T231920Z	plotfile_parity_wdm6_bubble_v1a_short1	9a74610149d5b5c4609134725c69fe5a736d6ce3	clean	build_wdm6/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	bubble_1step_plotparity	NA	implementation_parity	plotfile_parity_serial	bubble_moist_initial_condition	single_step_0_to_1	0	0	1	NA	1	NA	plotfile_parity_wdm6_bubble_v1a	short	A	0.5	1	qv,qc,qi,qs,nc,nr	NA	NA	NA	NA	NA	NA	NA	NA	plotfile_parity_wdm6_bubble_v1a/short_fortran/plt00001	plotfile_parity_wdm6_bubble_v1a/short_fortran/chk00001	plotfile_parity_wdm6_bubble_v1a/log.short_fortran	0	success	FORMAL clean-SHA oracle leg. First formal (non-triage) bridge execution of Milestone A. Embedded runtime hash 26.06-292-g9a74610149d5 matches the worktree describe exactly with no -dirty suffix, confirmed in the run log. Provenance repaired immediately before: build-info tier 1 (object+dep removal) was INSUFFICIENT a second time because the generated source still carried the stale string at AMReX_buildInfo.cpp:137; tier 2 (removing build_wdm6/erf_srclib/AMReX_buildInfo.cpp) was required and triggered a CMake regeneration, per process-operators.md:11-13. Only the build-info translation unit recompiled and erf_exec relinked, so the binary is source-identical to the campaign_wdm6_bubble_v2 triage build.
20260812T231920Z_plotparity_wdm6_bubble_v1a_short_cpp_dbg0	20260812T231920Z	plotfile_parity_wdm6_bubble_v1a_short1	9a74610149d5b5c4609134725c69fe5a736d6ce3	clean	build_wdm6/Exec/erf_exec	Release	Exec/RegTests/Bubble/inputs_BF02_moist_bubble	bubble_1step_plotparity	NA	implementation_parity	plotfile_parity_serial	bubble_moist_initial_condition	single_step_0_to_1	1	0	1	NA	1	NA	plotfile_parity_wdm6_bubble_v1a	short	A	0.5	1	qv,qc,qi,qs,nc,nr	1	temp	199	3	90	NA	NA	plotfile_parity_wdm6_bubble_v1a/diffs_plt00001_temp	plotfile_parity_wdm6_bubble_v1a/short_cpp/plt00001	plotfile_parity_wdm6_bubble_v1a/short_cpp/chk00001	plotfile_parity_wdm6_bubble_v1a/log.short_cpp	0	success	FORMAL clean-SHA Milestone A FAIL at zero tolerance. plt00000 pair AGREE across all 31 variables (every entry exactly 0), so the divergence arises entirely within the first WDM6 call. temp abs=6.631607696 rel=2.290772895e-2; theta abs=6.625510053 rel=1.976311604e-2; eq_pot_temp abs=6.669060511 rel=1.985579005e-2; rhotheta abs=3.01690336 rel=8.859488505e-3; pressure abs=867.1722896 rel=8.721967687e-3; pert_pres rel=1.000524732; qi abs=5.347781098e-07 rel=2.647491793e-3; rhoQ3 rel=2.608285552e-3; qsnow/nr abs=1.225136291e-05 rel=6.246766316e-4; nc abs=1.238390409e-05 rel=6.191952043e-4; rhoQ5 rel=6.373683213e-4; qv abs=3.151323603e-13 rel=2.667406784e-11; rhoQ1 rel=1.034266105e-11; qt abs=10 rel=5.458145434e-08; qp abs=0.01 rel=1.797693135e+308 (zero reference norm); density, qc, qrain, qgraup, rhoQ2/4/6, all velocities, scalar, pres_hse, dens_hse, pert_dens, rhoadv_0 all bitwise equal. Max-error zone (199,3,90) confirmed independently by -z temp, -z rhotheta and -z pressure. The full 31-variable table is byte-identical to the campaign_wdm6_bubble_v2 triage table, as expected for a source-identical binary; the clean SHA converts that triage result into formal evidence. Still 31 vars, not 32: ni (RhoQ8/nn, the CCN field) remains absent despite the plot_vars_1 override, so CCN is uncompared. Percent-scale thermodynamic error is not eligible for variable-aware growth adjudication per validation-operators.md:32. Compared with the tracked-submodule binary Submodules/AMReX/Tools/Plotfile/fcompare.gnu.ex.
